X Y
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F A
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F B
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
F C
